	Cs-137	Cs-137-Al
1001.494919942	127	133
1002.7619568	124	106
1004.029543782	103	103
1005.297680888	111	98
1006.566368118	111	111
1007.835605472	121	123
1009.10539295	130	128
1010.375730552	104	124
1011.646618278	112	108
1012.918056128	105	99
1014.190044102	116	117
1015.4625822	109	101
1016.735670422	118	121
1018.009308768	118	111
1019.283497238	100	128
1020.558235832	117	98
1021.83352455	109	100
1023.109363392	122	114
1024.385752358	135	99
1025.662691448	92	109
1026.940180662	108	101
1028.21822	114	125
1029.496809462	122	104
1030.775949048	87	106
1032.055638758	103	93
1033.335878592	114	107
1034.61666855	102	90
1035.898008632	92	104
1037.179898838	96	94
1038.462339168	92	88
1039.745329622	96	108
1041.0288702	105	101
1042.312960902	100	97
1043.597601728	107	100
1044.882792678	120	96
1046.168533752	113	106
1047.45482495	98	115
1048.741666272	107	95
1050.029057718	97	96
1051.316999288	103	88
1052.605490982	87	89
1053.8945328	72	93
1055.184124742	90	99
1056.474266808	92	89
1057.764958998	95	99
1059.056201312	100	102
1060.34799375	95	82
1061.640336312	95	90
1062.933228998	100	117
1064.226671808	117	89
1065.520664742	96	105
1066.8152078	91	109
1068.110300982	89	93
1069.405944288	96	113
1070.702137718	90	88
1071.998881272	92	93
1073.29617495	106	106
1074.594018752	84	95
1075.892412678	103	101
1077.191356728	107	101
1078.490850902	94	122
1079.7908952	118	87
1081.091489622	80	115
1082.392634168	93	111
1083.694328838	119	93
1084.996573632	101	87
1086.29936855	110	91
1087.602713592	98	93
1088.906608758	92	111
1090.211054048	91	98
1091.516049462	88	81
1092.821595	83	100
1094.127690662	99	90
1095.434336448	101	93
1096.741532358	110	97
1098.049278392	97	96
1099.35757455	93	100
1100.666420832	88	108
1101.975817238	90	91
1103.285763768	82	79
1104.596260422	95	97
1105.9073072	87	103
1107.218904102	93	81
1108.531051128	112	97
1109.843748278	90	96
1111.156995552	96	97
1112.47079295	83	77
1113.785140472	95	95
1115.100038118	104	94
1116.415485888	114	104
1117.731483782	94	94
1119.0480318	114	91
1120.365129942	101	109
1121.682778208	92	109
1123.000976598	102	74
1124.319725112	85	87
1125.63902375	90	86
1126.958872512	66	90
1128.279271398	94	77
1129.600220408	89	92
1130.921719542	87	81
1132.2437688	88	97
1133.566368182	82	77
1134.889517688	89	78
1136.213217318	76	74
1137.537467072	99	90
1138.86226695	84	98
1140.187616952	108	104
1141.513517078	72	86
1142.839967328	88	75
1144.166967702	93	96
1145.4945182	92	71
1146.822618822	84	86
1148.151269568	83	100
1149.480470438	108	78
1150.810221432	88	79
1152.14052255	88	79
1153.471373792	98	94
1154.802775158	84	104
1156.134726648	78	89
1157.467228262	91	93
1158.80028	83	94
1160.133881862	86	97
1161.468033848	94	92
1162.802735958	100	81
1164.137988192	89	96
1165.47379055	81	62
1166.810143032	78	83
1168.147045638	87	93
1169.484498368	78	97
1170.822501222	77	76
1172.1610542	86	75
1173.500157302	97	82
1174.839810528	89	74
1176.180013878	88	89
1177.520767352	74	77
1178.86207095	75	83
